picId,clientId,name,unidade,quantidade_linhas_unidade,lat,lon,init_time,forecast_horizon_hours,forecast_timestamp,ensemble_member,temperature_c,precipitation_6hr_mm,wind_speed_10m_ms,sea_level_pressure_pa
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,50,23.9,0.004,1.63,102026.8
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,51,24.81,0.001,2.37,101994.2
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,52,24.28,0.0,0.61,102023.0
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,53,24.44,0.0,2.5,102016.3
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,54,24.39,0.002,2.42,102005.4
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,55,24.32,0.0,2.46,101986.4
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,56,25.4,0.002,2.07,101980.5
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,57,25.13,0.0,2.1,101969.5
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,58,24.0,0.0,2.17,102043.8
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,59,23.72,0.0,2.64,102027.1
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,60,24.11,0.0,2.33,102023.8
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,61,25.11,0.009,3.09,101974.1
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,62,23.8,0.0,2.0,102013.6
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,63,24.17,0.0,2.03,102019.2
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,0,34.68,0.0,1.99,101395.4
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,12,2026-09-17 18:00:00,1,34.42,0.0,1.23,101422.9
