picId,clientId,name,unidade,lat,lon,rodada_init_time,data_hora_observacao,temp_media_c,temp_min_c,temp_max_c,precipitacao_6h_media_mm,precipitacao_6h_max_mm,vento_medio_ms,vento_rajada_max_ms,pressao_mar_pa
26156,2314,UCR_430189,UCR,-18.457168,-53.454862,2026-07-01 00:00:00,2026-07-01 06:00:00,20.43,18.98,22.39,0.001,0.01,3.04,3.76,101391.6
11064,2314,UCR_430193,UCR,-18.455733,-53.109513,2026-07-01 00:00:00,2026-07-01 06:00:00,17.55,16.38,18.94,0.001,0.007,2.61,3.37,101530.4
14976,2314,UCR_430235,UCR,-18.51613,-53.04143,2026-07-01 00:00:00,2026-07-01 06:00:00,17.55,16.38,18.94,0.001,0.007,2.61,3.37,101530.4
26134,2314,UCR_430250,UCR,-18.602664,-53.195763,2026-07-01 00:00:00,2026-07-01 06:00:00,18.97,17.86,20.12,0.001,0.009,3.13,3.95,101488.1
26130,2314,UCR_430271,UCR,-18.54951,-53.08757,2026-07-01 00:00:00,2026-07-01 06:00:00,17.55,16.38,18.94,0.001,0.007,2.61,3.37,101530.4
26146,2314,UCR_430278,UCR,-18.37928,-52.99697,2026-07-01 00:00:00,2026-07-01 06:00:00,17.55,16.38,18.94,0.001,0.007,2.61,3.37,101530.4
25501,2314,UCR_430302,UCR,-18.511801,-53.216719,2026-07-01 00:00:00,2026-07-01 06:00:00,18.97,17.86,20.12,0.001,0.009,3.13,3.95,101488.1
14720,2314,UCR_430314,UCR,-18.92452,-53.062048,2026-07-01 00:00:00,2026-07-01 06:00:00,18.41,17.12,19.35,0.001,0.005,2.79,3.6,101469.3
26144,2314,UCR_439211,UCR,-18.78055,-53.17633,2026-07-01 00:00:00,2026-07-01 06:00:00,18.83,17.96,19.96,0.001,0.008,2.94,3.67,101465.8
13796,2314,UEL_310014,UEL,-21.8499,-54.21598,2026-07-01 00:00:00,2026-07-01 06:00:00,18.93,17.65,20.28,0.001,0.009,1.56,2.54,101347.7
25744,2314,UEL_310031,UEL,-21.87163,-54.079,2026-07-01 00:00:00,2026-07-01 06:00:00,18.89,17.9,19.86,0.001,0.007,1.84,2.59,101344.6
22923,2314,UEL_310102,UEL,-21.65768,-53.79838,2026-07-01 00:00:00,2026-07-01 06:00:00,19.57,18.51,20.79,0.001,0.014,2.17,2.8,101363.9
26104,2314,UEL_310165,UEL,-21.705631,-53.987955,2026-07-01 00:00:00,2026-07-01 06:00:00,18.89,17.9,19.86,0.001,0.007,1.84,2.59,101344.6
25717,2314,UEL_310210,UEL,-21.881881,-53.942005,2026-07-01 00:00:00,2026-07-01 06:00:00,19.02,17.89,21.0,0.001,0.016,1.66,2.54,101360.3
26035,2314,UEL_310240,UEL,-21.81814,-53.86253,2026-07-01 00:00:00,2026-07-01 06:00:00,19.57,18.51,20.79,0.001,0.014,2.17,2.8,101363.9
26065,2314,UEL_310268,UEL,-21.75892,-53.93119,2026-07-01 00:00:00,2026-07-01 06:00:00,18.89,17.9,19.86,0.001,0.007,1.84,2.59,101344.6
26155,2314,UEL_310405,UEL,-21.80317,-54.32009,2026-07-01 00:00:00,2026-07-01 06:00:00,18.93,17.65,20.28,0.001,0.009,1.56,2.54,101347.7
25352,2314,UEL_318346,UEL,-21.91083,-54.14432,2026-07-01 00:00:00,2026-07-01 06:00:00,18.84,17.73,20.58,0.002,0.029,1.38,2.34,101350.9
26132,2314,UEL_318401,UEL,-21.70617,-53.87426,2026-07-01 00:00:00,2026-07-01 06:00:00,19.57,18.51,20.79,0.001,0.014,2.17,2.8,101363.9
25317,2314,UEL_318908,UEL,-21.801336,-54.105838,2026-07-01 00:00:00,2026-07-01 06:00:00,18.89,17.9,19.86,0.001,0.007,1.84,2.59,101344.6
26158,2314,UEL_320315,UEL,-21.868826,-54.307646,2026-07-01 00:00:00,2026-07-01 06:00:00,18.93,17.65,20.28,0.001,0.009,1.56,2.54,101347.7
25370,2314,UMV_410036,UMV,-17.84905,-53.10391,2026-07-01 00:00:00,2026-07-01 06:00:00,16.57,15.16,17.82,0.002,0.032,1.73,2.74,101553.2
25948,2314,UMV_410047,UMV,-17.787364,-52.866477,2026-07-01 00:00:00,2026-07-01 06:00:00,17.13,15.65,18.79,0.001,0.017,2.02,2.95,101536.3
25349,2314,UMV_410050,UMV,-17.74627,-52.97339,2026-07-01 00:00:00,2026-07-01 06:00:00,16.57,15.16,17.82,0.002,0.032,1.73,2.74,101553.2
11770,2314,UMV_410052,UMV,-17.69711,-53.11632,2026-07-01 00:00:00,2026-07-01 06:00:00,16.57,15.16,17.82,0.002,0.032,1.73,2.74,101553.2
26055,2314,UMV_410060,UMV,-17.67181,-53.00486,2026-07-01 00:00:00,2026-07-01 06:00:00,16.57,15.16,17.82,0.002,0.032,1.73,2.74,101553.2
25362,2314,UMV_410149,UMV,-17.67942,-53.19193,2026-07-01 00:00:00,2026-07-01 06:00:00,16.93,14.69,18.28,0.001,0.012,2.21,3.01,101538.0
26016,2314,UMV_410172,UMV,-17.68703,-53.05093,2026-07-01 00:00:00,2026-07-01 06:00:00,16.57,15.16,17.82,0.002,0.032,1.73,2.74,101553.2
21292,2314,UMV_410188,UMV,-17.75885,-53.13167,2026-07-01 00:00:00,2026-07-01 06:00:00,16.93,14.69,18.28,0.001,0.012,2.21,3.01,101538.0
